t,stdA,meanA
53.0000,0.2270,0.4612
53.2500,0.2655,0.4569
53.5000,0.3004,0.4530
53.7500,0.3199,0.4455
54.0000,0.3176,0.4328
54.2500,0.3003,0.4168
54.5000,0.2772,0.4000
54.7500,0.2538,0.3840
55.0000,0.2326,0.3695
55.2500,0.2144,0.3569
55.5000,0.1995,0.3463
55.7500,0.1878,0.3377
56.0000,0.1792,0.3312
56.2500,0.1735,0.3267
56.5000,0.1705,0.3242
56.7500,0.1699,0.3239
57.0000,0.1718,0.3258
57.2500,0.1759,0.3301
57.5000,0.1824,0.3371
57.7500,0.1916,0.3474
58.0000,0.2039,0.3615
58.2500,0.2201,0.3806
58.5000,0.2413,0.4059
58.7500,0.2683,0.4397
59.0000,0.3018,0.4850
59.2500,0.3427,0.5465
59.5000,0.3942,0.6329
59.7500,0.4668,0.7593
60.0000,0.5754,0.9447
60.2500,0.7080,1.1823
60.5000,0.7933,1.3982
60.7500,0.8155,1.5153
61.0000,0.7953,1.5099
61.2500,0.7475,1.4049
61.5000,0.6474,1.2429
61.7500,0.5281,1.0842
62.0000,0.4315,0.9510
62.2500,0.3611,0.8420
62.5000,0.3141,0.7533
62.7500,0.2871,0.6810
63.0000,0.2763,0.6223
63.2500,0.2780,0.5750
63.5000,0.2888,0.5371
63.7500,0.3067,0.5072
64.0000,0.3305,0.4843
64.2500,0.3590,0.4666
64.5000,0.3864,0.4517
64.7500,0.4046,0.4367
65.0000,0.4129,0.4209
65.2500,0.4127,0.4035
65.5000,0.3911,0.3826
65.7500,0.3552,0.3607
66.0000,0.3205,0.3408
66.2500,0.2914,0.3237
66.5000,0.2684,0.3094
66.7500,0.2512,0.2978
67.0000,0.2391,0.2887
67.2500,0.2315,0.2820
67.5000,0.2279,0.2775
67.7500,0.2278,0.2751
68.0000,0.2309,0.2748
68.2500,0.2368,0.2766
68.5000,0.2456,0.2805
68.7500,0.2571,0.2868
69.0000,0.2717,0.2958
69.2500,0.2897,0.3077
69.5000,0.3117,0.3232
69.7500,0.3382,0.3429
70.0000,0.3692,0.3672
70.2500,0.4040,0.3968
70.5000,0.4416,0.4322
70.7500,0.4812,0.4741
71.0000,0.5220,0.5238
71.2500,0.5636,0.5830
71.5000,0.6057,0.6548
71.7500,0.6485,0.7442
72.0000,0.6948,0.8610
72.2500,0.7572,1.0222
72.5000,0.8533,1.2358
72.7500,0.9322,1.4357
73.0000,0.9263,1.5359
73.2500,0.8965,1.5407
73.5000,0.8537,1.4536
73.7500,0.7513,1.2945
74.0000,0.6240,1.1336
74.2500,0.5266,0.9993
74.5000,0.4604,0.8892
74.7500,0.4189,0.7982
75.0000,0.3938,0.7218
